               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073374,            0.031764,            0.033818,                   0,                   0,                   0,                   0,            0.041267,             0.02005,            0.015945,              0.0964,              0.0004,              0.0004
                   1,            0.065228,            0.031242,            0.034025,                   0,                   0,                   0,                   0,            0.036557,            0.017959,            0.016205,            0.091891,          0.00089109,          0.00089109
                   2,            0.061509,            0.031263,            0.034213,          0.00012674,                0.05,          9.0957e-05,          2.7287e-05,            0.034135,            0.014742,            0.016724,            0.087372,           0.0013723,           0.0013723
                   3,            0.053997,            0.029144,            0.033463,           0.0008376,                0.25,           0.0016373,          0.00043005,            0.029336,            0.013586,            0.016937,            0.082844,           0.0018436,           0.0018436
                   4,            0.050442,            0.029476,            0.033555,           0.0028716,                0.75,            0.077097,            0.011473,            0.024638,            0.012259,            0.015686,            0.078305,            0.002305,            0.002305
                   5,            0.045922,             0.02762,            0.033242,           0.0040063,                0.95,            0.069626,            0.021068,            0.026066,            0.010702,            0.015732,            0.073756,           0.0027564,           0.0027564
                   6,             0.04359,            0.028422,            0.031818,            0.003606,                   1,             0.16684,            0.093444,            0.022257,           0.0094566,            0.015961,            0.069198,            0.003198,            0.003198
                   7,            0.037974,            0.025701,            0.032052,           0.0035008,                   1,             0.33124,             0.14232,            0.024016,           0.0095689,            0.015762,             0.06463,           0.0036297,           0.0036297
                   8,            0.038608,            0.027213,            0.031466,             0.17834,             0.21623,             0.22186,             0.13581,            0.018219,           0.0085158,            0.016174,            0.060052,           0.0040515,           0.0040515
                   9,            0.035317,             0.02608,            0.030681,            0.081974,                0.45,             0.22031,             0.10997,            0.021014,           0.0072105,            0.015717,            0.055463,           0.0044634,           0.0044634
                  10,            0.034567,            0.022975,            0.030875,             0.14618,             0.19825,              0.2634,             0.17472,            0.018119,           0.0064857,            0.015503,            0.050865,           0.0048654,           0.0048654
                  11,            0.038254,            0.023251,            0.031228,             0.18751,                0.25,             0.36086,             0.19802,            0.012329,           0.0068498,            0.014885,            0.046257,           0.0052575,           0.0052575
